price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
"₦ 5,040,000",Petrol,Automatic,Toyota,Corolla,2008,Blue,Local Used,254233,1800,Registered,Registered,Toyota Corolla 2008 Blue,,,,,,Lagos
"₦ 6,300,000",Petrol,Automatic,Lexus,GS,2006,Gray,Local Used,205013,300,Registered,Registered,Lexus GS 2006 Gray,,,,,,
"₦ 5,200,000",Petrol,Automatic,Toyota,Corolla,2004,Silver,Local Used,278606,1800,Registered,Registered,Toyota Corolla 2004 Silver,,,,,,LAGOS
"₦ 6,300,000",Petrol,Automatic,Saturn,Vue,2009,Blue,Local Used,287328,2400,Registered,Imported,Saturn Vue 2009 Blue,,,,,,
"₦ 5,460,000",Petrol,Automatic,Toyota,RAV4,2008,Red,Local Used,171961,2800,Registered,Registered,Toyota RAV4 2.2 D-4D 2008 Red,2.2 D-4D,All Wheel,5,4,,LAGOS
"₦ 7,350,000",Petrol,Automatic,Nissan,Maxima,2007,Brown,Foreign Used,129551,3500,Imported,Imported,Nissan Maxima 2007 Brown,,,,,,
"₦ 7,350,000",Petrol,Automatic,Nissan,Maxima,2007,Brown,Foreign Used,129551,3500,Imported,Imported,Nissan Maxima 2007 Brown,,,,,,
"₦ 4,515,000",Petrol,Automatic,Toyota,Avalon,2007,Green,Local Used,150590,3500,Registered,Registered,Toyota Avalon Limited 2007 Green,Limited,Front Wheel,5,6,268,
"₦ 10,500,000",Petrol,Automatic,BMW,528i,2012,Gray,Local Used,190530,2000,Registered,Imported,BMW 528i 2012 Gray,,,,,,
"₦ 5,250,000",Petrol,Automatic,Ford,Explorer,2008,Black,Local Used,418246,4000,Registered,Imported,Ford Explorer 2008 Black,,,,,,
"₦ 31,500,000",Petrol,Automatic,Jeep,Wrangler,2008,Gray,Foreign Used,368707,3500,Imported,Imported,Jeep Wrangler 2008 Gray,,,,,,
"₦ 10,263,750",Petrol,Automatic,Toyota,Highlander,2008,Black,Local Used,242812,3500,Registered,Imported,Toyota Highlander 2008 Black,,,,,,
