price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
"₦ 7,800,000",Petrol,Automatic,Toyota,Camry,2006,Gray,Local Used,178804,2400,Registered,Registered,Toyota Camry 2006 Gray,,,,,,LAGOS
"₦ 99,000,000",Petrol,Automatic,Mercedes-Benz,GLE-Class,2020,Silver,Foreign Used,93974,3500,Imported,Imported,Mercedes-Benz GLE-Class 2020 Silver,,,,,,
"₦ 8,840,000",Petrol,Automatic,Mercedes-Benz,M Class,2006,Blue,Local Used,,5000,Registered,Registered,Mercedes-Benz M Class 2006 Blue,,,,,,Lagos
"₦ 20,280,000",Petrol,Automatic,Toyota,Camry,2015,Gold,Foreign Used,126811,2500,Imported,Imported,Toyota Camry 2015 Gold,LE 4dr Sedan (2.5L 4cyl 6A),Front,5,4,178,
"₦ 8,320,000",Petrol,Automatic,Toyota,Corolla,2010,Gray,Local Used,134920,1800,Registered,Registered,Toyota Corolla 2010 Gray,,,,,,LAGOS
"₦ 16,800,000",Petrol,Automatic,Mercedes-Benz,GLK-Class,2013,Black,Local Used,324159,3500,Registered,Registered,Mercedes-Benz GLK-Class 2013 Black,,,,,,OGUN STATE
"₦ 41,600,000",Petrol,Automatic,Lexus,RX 350,2016,Black,Local Used,89009,3000,Registered,Imported,Lexus RX 350 2016 Black,,,,,,
"₦ 4,680,000",Petrol,Automatic,Lexus,RX 300,1999,Gold,Local Used,245154,3000,Registered,Registered,Lexus RX 300 1999 Gold,,,,,,
"₦ 3,328,000",Petrol,Automatic,Honda,Accord,2004,Blue,Local Used,207688,2400,Registered,Registered,Honda Accord 2004 Blue,,,,,,
"₦ 2,940,000",Petrol,Automatic,Honda,Accord,2004,Green,Local Used,275288,2800,Registered,Registered,Honda Accord 2.4 Type S Automatic 2004 Green,2.4 Type S Automatic,Front Wheel,5,,,LAGOS
"₦ 3,328,000",Petrol,Automatic,Honda,Accord,2004,Blue,Local Used,207688,2400,Registered,Registered,Honda Accord 2004 Blue,,,,,,
"₦ 21,632,000",Petrol,Automatic,Toyota,Highlander,2013,Silver,Foreign Used,116522,3500,Imported,Imported,Toyota Highlander 2013 Silver,,,,,,
"₦ 31,096,000",Petrol,Automatic,Toyota,Highlander,2012,White,Foreign Used,144256,3500,Imported,Imported,Toyota Highlander Limited 2012 White,Limited,Front Wheel,5,6,274,
"₦ 31,200,000",Petrol,Automatic,Mercedes-Benz,M Class,2014,Black,Foreign Used,197720,3500,Imported,Imported,Mercedes-Benz M Class 2014 Black,,,,,,
"₦ 2,912,000",Petrol,Automatic,Toyota,Camry,1998,Gray,Local Used,241613,2200,Registered,Registered,Toyota Camry 1998 Gray,,,,,,
"₦ 8,320,000",Petrol,Automatic,Toyota,Camry,2007,Gray,Local Used,152314,2500,Registered,Registered,Toyota Camry 2007 Gray,,,,,,
"₦ 36,400,000",Petrol,Automatic,Mercedes-Benz,GL-Class,2015,White,Local Used,174409,3000,Registered,Imported,Mercedes-Benz GL-Class 2015 White,,,,,,
"₦ 13,000,000",Petrol,Automatic,Lexus,ES,2011,White,Local Used,156801,3500,Registered,Imported,Lexus ES 2011 White,,,,,,Abuja
"₦ 42,105,000",Petrol,Automatic,Mercedes-Benz,GLE-Class,2016,Black,Foreign Used,129073,3500,Imported,Imported,Mercedes-Benz GLE-Class 2016 Black,,,,,,
"₦ 26,250,000",Petrol,Automatic,Mercedes-Benz,M Class,2013,Black,Foreign Used,111645,3500,Imported,Imported,Mercedes-Benz M Class 2013 Black,,,,,,
"₦ 13,000,000",Petrol,Automatic,Toyota,Camry,2014,Silver,Local Used,133064,2500,Registered,Registered,Toyota Camry 2014 Silver,,,,,,ABUJA
